Win	14/11/2017, 02:47:12	MastodonA	advanced	25
Lose	14.11.2017 10:32:59	br	beginner	3
Lose	14.11.2017 10:35:31	brFuel	beginner	3
Lose	16.11.2017 08:13:38	Mastodoo	beginner	3
Lose	11/16/2017, 8:34:48 AM	test	beginner	1
Win	11/16/2017, 8:35:16 AM	asd	beginner	1
Lose	16.11.2017 08:36:38	test	beginner	3
Lose	24/03/2018, 02:55:13	Artiku	beginner	6
Lose	24/03/2018, 02:55:15	Artiku	beginner	6
Lose	24/03/2018, 02:55:16	Artiku	beginner	6
Lose	24/03/2018, 02:55:18	Artiku	beginner	6
Lose	24/03/2018, 02:55:34	Artiku	beginner	8
Lose	24/03/2018, 02:55:40	Artiku	beginner	8
Lose	24/03/2018, 02:55:54	Artiku	beginner	8
